,,,,,,,,,,
,Pais,ClaveTerritorio,ingresos,costos,CostoCampanas,BeneficioBruto,Margen_pct,ROI_pct,,INSIGHT C F I
,United States,1,"$3,353,939.92","$1,899,471.33","$1,920,000.00","$1,454,468.60",43.37%,75.75%,,Contexto:
,Australia,9,"$2,532,003.49","$1,474,958.18","$2,150,400.00","$1,057,045.31",41.75%,49.16%,,"El objetivo fue responder dos preguntas clave para la dirección financiera:

¿Cuánto estamos ganando por país?

¿Qué tan rentable es cada mercado considerando los gastos de marketing?"
,United Kingdom,10,"$1,189,636.78","$681,508.55","$2,304,000.00","$508,128.24",42.71%,22.05%,,
,Germany,8,"$1,071,460.42","$611,295.36","$2,265,600.00","$460,165.06",42.95%,20.31%,,Hallazgos
,France,7,"$924,316.93","$527,797.14","$2,208,000.00","$396,519.79",42.9%,17.96%,,1)con $3.35M de ingresos EUA lidera como el pais mas rentable ROI de 77.75%
,Canada,6,"$710,205.18","$392,325.91","$1,824,000.00","$317,879.27",44.76%,17.43%,,
,,,,,,,,,,"2)Australia con casi el 50% de ROI, se coloca entre los favoritos "
,¿Cuál es la diferencia entre Margen y ROI?,,,,,,,,,
,"1)El margen es la diferencia entre los costos del producto  y el precio de venta ejemplo ( venta 100$, costso del producto 55$, beneficio bruto 45 margen 45% y el ROI es abrebiacion de (Return on invesment)=(Retorno de invercion) Ejemplo: Si el beneficio bruto es $40 y gastaste $20 en campañas, el ROI = 200%",,,,,,,,,3) Canada con ROI de 17.43% es el mercado con menor eficiencia 
,¿Por qué el ROI en Estados Unidos es tan alto comparado con otros países?,,,,,,,,,
,"1)Al tener un volumen de venta smas alto el beneficio bruto sera mas alto tambien gasto en campañas de EUA $1.92M  genero $3.35M con un beneficio de $1.45M ,con un ROI dde 77.45%",,,,,,,,,Implicación
,"Si aumentáramos el gasto de campañas en un 50%, ¿qué pasaría con el ROI?",,,,,,,,,1)En EUA y Australia se esta manejando correctamente las campañas y generan retornos efectivos 
,"1)Haria que el ROI se desplome , el margen seria el mismo, el ROI depende de la relacion entre beneficio y gasto en marketing",,,,,,,,,
,,,,,,,,,,2)Canada en comparacion con los otros 2 mercados reprecenta un mercado menos eficiente con un margen aceptable del 44.76% pero con ROI  de apenas 17.43% esta limitando la rentavilidad del territorio 